GJAHR	WBS3	TXT_WBS3	INV_TYP	INV_TYP_TXT	WBS1	TXT_WBS1	PLFAZ	PLSEZ	WAERS	USR06	USR07	WBS2	TXT_WBS2	KOKRS	TXT_KOKRS	BUKRS	TXT_BUKRS	GSBER	TXT_GSBER	PRCTR	TXT_PRCTR	USR08	USR02	USR00	USR01	USR00_1	USR00_2	USR00_3	USR00_4	ZZUSRCURR_01	KOSTL	TXT_KOSTL	ANLKL	TXT_ANLKL	WW000	TXT_WW000	WW100	TXT_WW100	WW129	TXT_WW129	KALSM	TXT_KALSM	USR11	USR10	PLN_S00_01	PLN_S00_02	PLN_S00_03	PLN_S00_04	PLN_S00_05	PLN_S00_06	PLN_S00_07	PLN_S00_08	PLN_S00_09	PLN_S00_10	PLN_S00_11	PLN_S00_12	PLN_V00_01	PLN_V00_02	PLN_V00_03	PLN_V00_04	PLN_V00_05	PLN_V00_06	PLN_V00_07	PLN_V00_08	PLN_V00_09	PLN_V00_10	PLN_V00_11	PLN_V00_12	PLN_E00_01	PLN_E00_02	PLN_E00_03	PLN_E00_04	PLN_E00_05	PLN_E00_06	PLN_E00_07	PLN_E00_08	PLN_E00_09	PLN_E00_10	PLN_E00_11	PLN_E00_12	BDG_B00_01	BDG_B00_02	BDG_B00_03	BDG_B00_04	BDG_B00_05	BDG_B00_06	BDG_B00_07	BDG_B00_08	BDG_B00_09	BDG_B00_10	BDG_B00_11	BDG_B00_12	BDG_B01_01	BDG_B01_02	BDG_B01_03	BDG_B01_04	BDG_B01_05	BDG_B01_06	BDG_B01_07	BDG_B01_08	BDG_B01_09	BDG_B01_10	BDG_B01_11	BDG_B01_12	BDG_CHG_01	BDG_CHG_02	BDG_CHG_03	BDG_CHG_04	BDG_CHG_05	BDG_CHG_06	BDG_CHG_07	BDG_CHG_08	BDG_CHG_09	BDG_CHG_10	BDG_CHG_11	BDG_CHG_12	ACT_APPR_01	ACT_APPR_02	ACT_APPR_03	ACT_APPR_04	ACT_APPR_05	ACT_APPR_06	ACT_APPR_07	ACT_APPR_08	ACT_APPR_09	ACT_APPR_10	ACT_APPR_11	ACT_APPR_12	ACT_UNAP_01	ACT_UNAP_02	ACT_UNAP_03	ACT_UNAP_04	ACT_UNAP_05	ACT_UNAP_06	ACT_UNAP_07	ACT_UNAP_08	ACT_UNAP_09	ACT_UNAP_10	ACT_UNAP_11	ACT_UNAP_12	ACT_AGAP_01	ACT_AGAP_02	ACT_AGAP_03	ACT_AGAP_04	ACT_AGAP_05	ACT_AGAP_06	ACT_AGAP_07	ACT_AGAP_08	ACT_AGAP_09	ACT_AGAP_10	ACT_AGAP_11	ACT_AGAP_12	ACT_AGUN_01	ACT_AGUN_02	ACT_AGUN_03	ACT_AGUN_04	ACT_AGUN_05	ACT_AGUN_06	ACT_AGUN_07	ACT_AGUN_08	ACT_AGUN_09	ACT_AGUN_10	ACT_AGUN_11	ACT_AGUN_12
2023	M.23.1106.01-001-030	백화점 조도개선 공사(5~8F,B1F)	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-029	골프레인지 시설보수 공사	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-028	지하1층 발렛존 기류개선 공사(설비부문)	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-027	설비 노후 배관 교체 공사	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-023	5층 방송실 노후 방송앰프 교체 공사	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-024	동파방지용 히터 개선 공사	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-025	수변전실 고주파필터 교체 공사	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-019	6층 아카데미 키즈홀,커뮤니티룸 디밍 조명 교체 공사	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-018	보이드 방전등 LED 조명 교체 공사	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-026	기계 장비 노후 설비 교체 공사	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
